"","id","Year","fullCit","count","Source"
"112","Flanner_1965",1965,"Flanner, Janet.(Genêt) Paris Journal 1944-1965. Edited by William Shawn. New York: Atheneum, 1965.",5,"Primary Works"
"113","Flanner_1972",1972,"Flanner, Janet. Paris Was Yesterday (1925-1939). New York: Popular Library, 1972. ",2,"Primary Works"
"114","Gellhorn_1988",1988,"Gellhorn, Martha. “The Third Winter” in The Face of War. New York: Atlantic Monthly Press, 1988.",8,"Primary Works"
"115","Flanner_1936",1936,"Flanner, Janet. The Trouble I’ve Seen. New York: William Morrow and Co., 1936. ",1,"Primary Works"
"116","Hecht_1922",1922,"Hecht, Ben. 1001 Afternoons in Chicago. Chicago: Pascal Covici, 1922. ",3,"Primary Works"
"117","Hemingway_1967",1967,"Hemingway, Ernest. By-Line: Ernest Hemingway. Edited by William White. New York: Scribner's, 1967.",6,"Primary Works"
"118","Flanner_1960",1960,"Flanner, Janet. The Dangerous Summer. New York: Scribner's, 1985. Originally published 1960.",5,"Primary Works"
"119","Flanner_1985",1985,"Flanner, Janet. Dateline: Toronto; The Complete Toronto Star Dispatches, 1920-1924. Edited by William White. New York: Charles Scribner's Sons,1985.",11,"Primary Works"
"120","Flanner_1932",1932,"Flanner, Janet. Death in the Afternoon. New York: Scribner's, 1932.",1,"Primary Works"
"121","Flanner_1935",1935,"Flanner, Janet. Green Hills of Africa. New York: Scribner's, 1935.",1,"Primary Works"
"122","Flanner_1964",1964,"Flanner, Janet. A Moveable Feast. New York: Scribner's, 1964.",3,"Primary Works"
"123","Hersey_1963",1963,"Hersey, John. Here to Stay. New York: Alfred A. Knopf, 1963. Collected stories from World War II.",2,"Primary Works"
"124","Hersey_1946",1946,"Hersey, John. Hiroshima. New York: Alfred A. Knopf, 1946.",4,"Primary Works"
"125","LeBlanc_2003",2003,"LeBlanc, Adrian Nicole. Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx. New York: Scribner, 2003.",5,"Primary Works"
"126","Liebling_1938",1938,"Liebling, A. J. Back Where I Came From. New York: Sheridan House, 1938. ",5,"Primary Works"
"127","Liebling_2004",2004,"Liebling, A. J. Just Enough Liebling: Classic Work by the Legendary New Yorker Writer. Introduction by David Remnick. New York: North Point Press, 2004. ",4,"Primary Works"
"128","Liebling_1981",1981,"Liebling, A. J. Liebling Abroad. Introduction by Raymond Sokolov. Playboy Press, 1981. Contains: The Road Back to Paris, Mollie & Other War Pieces, Normandy Revisited, Between Meals: An Appetite for Paris.",4,"Primary Works"
"129","Liebling_1956",1956,"Liebling, A. J. Liebling at Home. Introduction by Herbert Mitgang. Wideview Books, 1982. Contains: The Telephone Booth Indian; Chicago: The Second City; The Honest Rainmaker; The Earl of Louisiana; and The Jolity Building. ——. The Sweet Science. New York: Viking, 1956.",2,"Primary Works"
"130","McCarthy_1951",1951,"McCarthy, Mary. On the Contrary. New York: Farrar, Straus and Cudahy, 1961. McKelway, St. Clair. True Tales from the Annals of Crime and Rascality. New York: Random House, 1951.",2,"Primary Works"
