"","Full Citation","Source","Year","Author Last Name","Author First Name","Title","Type","`Full Citation` == `Full Citation`"
"407","Good, Howard. “Jacob A. Riis.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. New York: Greenwood P, 1992. 81–90.","LJS Bibliography",1992,"Good","Howard","Jacob A. Riis","Secondary Works",TRUE
"408","Green, James. “Gonzo.” Journal of Popular Culture 9, no. 1 (Summer 1975): 204/106-210/112. 20th century; Hunter Thompson, Tom Wolfe; Magazines; Strengths and weaknesses of gonzo style.","LJS Bibliography",1975,"Green","James","Gonzo","Secondary Works",TRUE
"409","Guilfoil, Kelsey. “John Hersey: Fact and Fiction.” The English Journal 39, no. 7 (Sept. 1950): 355-360.","LJS Bibliography",1950,"Guilfoil","Kelsey","John Hersey: Fact and Fiction","Secondary Works",TRUE
"410","Gutkind, Lee. Keep It Real: Everything You Need to Know About Researching and Writing Creative Nonfiction. New York: W. W. Norton & Co., 2009.","LJS Bibliography",2009,"Gutkind","Lee","Keep It Real: Everything You Need to Know About Researching and Writing Creative Nonfiction","Secondary Works",TRUE
"411","Gutkind, Lee. The Art of Creative Nonfiction: Writing and Selling the Literature of Reality. New York: John Wiley & Sons, 1997.","LJS Bibliography",1997,"Gutkind","Lee","The Art of Creative Nonfiction: Writing and Selling the Literature of Reality","Secondary Works",TRUE
"412","Hapgood, Hutchins. “A New Form of Literature.” Bookman 21 (1905): 424–47.","LJS Bibliography",1905,"Hapgood","Hutchins","A New Form of Literature","Secondary Works",TRUE
"413","Hart, Jack. “Stories in the News.” Writer’s Digest Sept. 1995: 29–33.","LJS Bibliography",1995,"Hart","Jack","Stories in the News","Secondary Works",TRUE
"414","Hartsock, John C. “‘It Was a Dark and Stormy Night’: Newspaper Reporters Rediscover the Art of Narrative Literary Journalism and Their Own Epistemological Heritage.” Prose Studies 29.2 (2007): 263–84.","LJS Bibliography",2007,"Hartsock","John","‘It Was a Dark and Stormy Night’: Newspaper Reporters Rediscover the Art of Narrative Literary Journalism and Their Own Epistemological Heritage","Secondary Works",TRUE
"415","Hartsock, John C. “‘Scribbling the Cat’: In a Dangerous Land of Negotiating Personal and Cultural Revelation.” DoubleTake 1, vol. 2 (2006): 100-04.","LJS Bibliography",2006,"Hartsock","John","‘Scribbling the Cat’: In a Dangerous Land of Negotiating Personal and Cultural Revelation","Secondary Works",TRUE
"416","Hartsock, John C. “Literary Journalism.” Reading in America Today: The Greenwood Encyclopedia of Contemporary Popular American Literature. Westport, Conn.: Greenwood Press, 2008.","LJS Bibliography",2008,"Hartsock","John","Literary Journalism","Secondary Works",TRUE
"417","Hartsock, John C. “Literary Reportage: The ‘Other’ Literary Journalism.” Genre: Forms of Discourse and Culture, 42 (Spring/Summer 2009): 113–34. Rpt. and rev. in Literary Journalism Across the Globe: Journalistic Traditions and Transnational Influences. Amherst, Mass.: University of Massachusetts Press, 2011.","LJS Bibliography",2011,"Hartsock","John","Literary Reportage: The ‘Other’ Literary Journalism","Secondary Works",TRUE
"418","Hartsock, John C. “Telling News Naturally,” Points of Entry: Cross-Currents in Story Telling 1, no. 1, 2003: 35–41.","LJS Bibliography",2003,"Hartsock","John","Telling News Naturally","Secondary Works",TRUE
"419","Hartsock, John C. A History of American Literary Journalism: The Emergence of a Modern Narrative Form. Amherst, Mass.: University of Masschusetts Press, 2000.","LJS Bibliography",2000,"Hartsock","John","A History of American Literary Journalism: The Emergence of a Modern Narrative Form","Secondary Works",TRUE
"420","Hartsock, John C. Foreword. Literary Journalism in the Twentieth Century. Ed. Norman Sims. Evanston, Ill.: Northwestern University Press, 2008. vii–xii.","LJS Bibliography",2008,"Hartsock","John","Foreword","Secondary Works",TRUE
"421","Hartsock, John C. Foreword. Sonja Merljak Zdovc. Literary Journalism in the United States of America and Slovenia. Lanham, Md.: University Press of America, 2008. vii–viii.","LJS Bibliography",2008,"Hartsock","John","Foreword","Secondary Works",TRUE
"422","Harvey, Chris. “Tom Wolfe’s Revenge.” American Journalism Review Oct. 1994: 40–45.","LJS Bibliography",1994,"Harvey","Chris","Tom Wolfe’s Revenge","Secondary Works",TRUE
"423","Hawthorne, Julian. “Journalism the Destroyer of Literature.” The Critic 48 (1906): 166–71.","LJS Bibliography",1906,"Hawthorne","Julian","Journalism the Destroyer of Literature","Secondary Works",TRUE
"424","Hellmann, John. “The Novel of Contemporary History.” Atlantic Monthly Nov. 1949: 80-84.","LJS Bibliography",1949,"Hellmann","John","The Novel of Contemporary History","Secondary Works",TRUE
"425","Hellmann, John. Fables of Fact: The New Journalism as Fables of Fact. Urbana: University of Illinois Press, 1981. Hersey, John. “The Legend on the License.” Yale Review 70: 1–25.","LJS Bibliography",1981,"Hellmann","John","The Legend on the License","Secondary Works",TRUE
"426","Hettinga, Donald R. “Ring Lardner.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 161–67.","LJS Bibliography",1992,"Hettinga","Donald","Ring Lardner","Secondary Works",TRUE
"427","Heyne, Eric. “Toward a Theory of Literary Nonfiction.” Modern Fiction Studies 23 (1987): 479–90.","LJS Bibliography",1987,"Heyne","Eric","Toward a Theory of Literary Nonfiction","Secondary Works",TRUE
"428","Hollowell, John. Fact & Fiction: The New Journalism and the Nonfiction Novel. Chapel Hill: University of North Carolina Press, 1977.","LJS Bibliography",1977,"Hollowell","John","Fact & Fiction: The New Journalism and the Nonfiction Novel","Secondary Works",TRUE
"429","Hough, George A. “How New?” Journal of Popular Culture 9 (1975): 114/16–121/23.","LJS Bibliography",1975,"Hough","George","How New","Secondary Works",TRUE
"430","Howarth, William. “The Mother of Literature: Journalism and The Grapes of Wrath.” Literary Journalism in the Twentieth Century. Ed. Norman Sims. Evanston, Ill.: Northwestern University Press, 2008. 53–81.","LJS Bibliography",2008,"Howarth","William","The Mother of Literature: Journalism and The Grapes of Wrath","Secondary Works",TRUE
"431","Humphrey, Robert E. “John Reed.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 151–60.","LJS Bibliography",1992,"Humphrey","Robert","John Reed","Secondary Works",TRUE
"432","Humphries, David T. Different Dispatches: Journalism in American Modernist Prose. New York: Routledge, 2006.","LJS Bibliography",2006,"Humphries","David","Different Dispatches: Journalism in American Modernist Prose","Secondary Works",TRUE
"433","Jacobson, Kent. “The Freaking New Journalism.” Journal of Popular Culture 9, no. 1 (Summer 1975): 183/85-96/98. 20th century; New Journalism; Books, Magazines; Social alienation.","LJS Bibliography",1975,"Jacobson","Kent","The Freaking New Journalism","Secondary Works",TRUE
"434","Jensen, Jay. “The New Journalism in Historical Perspective.” Journalism History 1.2 (1974): 37+.","LJS Bibliography",1974,"Jensen","Jay","The New Journalism in Historical Perspective","Secondary Works",TRUE
"435","Johnson, Michael L. “Wherein Lies the Value?” Journal of Popular Culture 9, no. 1 (Summer 1975): 135/37-41/43. 20th century; Tom Wolfe, Norman Mailer, Truman Capote; New Journalism; Magazines, newspapers; Popular culture.","LJS Bibliography",1975,"Johnson","Michael","Wherein Lies the Value","Secondary Works",TRUE
"436","Johnson, Michael L. The New Journalism: The Underground Press, the Artists of Nonfiction, and Changes in the Established Media. Lawrence, Kans.: University Press of Kansas, 1971.","LJS Bibliography",1971,"Johnson","Michael","The New Journalism: The Underground Press, the Artists of Nonfiction, and Changes in the Established Media","Secondary Works",TRUE
"437","Jones, Dan R. “John Hersey.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 213–22.","LJS Bibliography",1992,"Jones","Dan","John Hersey","Secondary Works",TRUE
"438","Jones, Dan R. “John McPhee.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 343–52.","LJS Bibliography",1992,"Jones","Dan","John McPhee","Secondary Works",TRUE
"439","Jones, Steve. “Jane Kramer.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 323–29.","LJS Bibliography",1992,"Jones","Steve","Jane Kramer","Secondary Works",TRUE
"440","Kallan, Richard A. “Entrance.” Journal of Popular Culture 9, no. 1 (Summer 1975): 106/8-13/15. 20th century; Tom Wolfe, Gay Talese; New nonfiction; Books, magazines; Popular Culture.","LJS Bibliography",1975,"Kallan","Richard","Entrance","Secondary Works",TRUE
"441","Kallan, Richard A. “Tom Wolfe.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 249–60.","LJS Bibliography",1992,"Kallan","Richard","Tom Wolfe","Secondary Works",TRUE
"442","Kaul, Arthur J., ed. American Literary Journalists, 1945–1995. First Series. Dictonary of Literary Biography. Detroit: Gale Research, 1997. 185.","LJS Bibliography",1997,"Kaul","Arthur","American Literary Journalists, 1945–1995","Secondary Works",TRUE
"443","Kaul, Arthur J.. “Hunter S. Thompson.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 273–79.","LJS Bibliography",1992,"Kaul","Arthur","Hunter S. Thompson","Secondary Works",TRUE
"444","Kazin, Alfred. “The Imagination of Fact.” Bright Book of Life. Boston: Little, Brown, 1973. 209–41.","LJS Bibliography",1973,"Kazin","Alfred","The Imagination of Fact","Secondary Works",TRUE
