,fullCit,Source,Year,author,author_firstname,id,Type,gender
592,"Fishwick, Marshall. â€œEditorial.â€ù Journal of Popular Culture 9, no. 1 (Summer 1975): 247/149-249/151. 20th century; Magazines, books; Interaction of New Jour- nalism and popular culture.",LJSBib2,1975,Fishwick,Marshall,Fishwick_1975,Secondary Works,male
593,"Green, James. â€œGonzo.â€ù Journal of Popular Culture 9, no. 1 (Summer 1975): 204/106-210/112. 20th century; Hunter  ompson, Tom Wolfe; Magazines; Strengths and weaknesses of gonzo style.",LJSBib2,1975,Green,James,Green_1975,Secondary Works,male
594,"Jacobson, Kent. â€œ e Freaking New Journalism.â€ù Journal of Popular Culture 9, no. 1 (Summer 1975): 183/85-96/98. 20th century; New Journalism; Books, magazines; Social alienation.",LJSBib2,1975,Jacobson,Kent,Jacobson_1975,Secondary Works,male
598,"Van Dellen, Robert J. â€œWeâ€™ve Been Had by the New Journalism: A Put Down.â€ù Journal of Popular Culture 9, no. 1 (Summer 1975): 219/121-31/33. 20th century; New Journalists; Magazines, books; Dishonesty of New Journalism.",LJSBib2,1975,Van Dellen,Robert,Van Dellen_1975,Secondary Works,male
599,"Weirather, Larry. â€œTom Wolfeâ€™s Snake River Canyon Jump.â€ù Journal of Popular Culture 9, no. 1 (Summer 1975): 211/113-18/20. 20th century; Tom Wolfe; Magazines, books; Popular reception of New Journalism.",LJSBib2,1975,Weirather,Larry,Weirather_1975,Secondary Works,male
390,"Fishkin, Shelley Fisher. From Fact to Fiction: Journalism and Imaginative Writing in America. Baltimore: Johns Hopkins University Press, 1985. Fishman, Donald. â€œNorman Mailer.â€ù Journal of Popular Culture 9, no. 1 (Summer 1975): 174/76-82/84. 20th century; Norman Mailer; New Journalism; Novels, essays.",LJSBib,1975,Fishkin,Shelley,Fishkin_1975,Secondary Works,female
455,"Landreth, Elizabeth. â€œThere Shall Be No Night: Las Vegas.â€ù Journal of Popular Culture 9, no. 1 (Summer 1975): 197/99- 203/105. 20th century; New Journalism; Books, magazines; Las Vegas.",LJSBib,1975,Landreth,Elizabeth,Landreth_1975,Secondary Works,female
569,"Hovey, Tamara. John Reed: Witness to Revolution. Los Angeles: George Sand Books, 1975.",SimsBib,1975,Hovey,Tamara,Hovey_1975,Secondary Works,female
573,"Kramer, Victoria A. James Agee. Boston: G. K. Hall, 1975.",SimsBib,1975,Kramer,Victoria,Kramer_1975,Secondary Works,female
584,"Steinbeck, Elaine, and Robert Wallsten, editors. Steinbeck: A Life in Letters. New York: The Viking Press, 1975.",SimsBib,1975,Steinbeck,Elaine,Steinbeck_1975,Secondary Works,female
595,"Landreth, Elizabeth. â€œThere Shall Be No Night: Las Vegas.â€ù Journal of Popular Cul- ture 9, no. 1 (Summer 1975): 197/99-203/105. 20th century; New Journal- ism; Books, magazines; Las Vegas.",LJSBib2,1975,Landreth,Elizabeth,Landreth_1975,Secondary Works,female
29,"Bryan, C. D. B. Friendly Fire. New York: G. P. Putnamâ€™s Sons, 1976.",LJPrimary,1976,Bryan,C,Bryan_1976,Primary Works,male
285,from Another Day of Life / Ryszard Kapuscinski -- 1976,AoFTOC,1976,Kapuscinski,Ryszard,Kapuscinski_1976,Primary Works,male
38,"Conaway, James. The Texans. New York: Alfred A. Knopf, 1976.",LJPrimary,1976,Conaway,James,Conaway_1976,Primary Works,male
155,"Mailer, Norman. Some Honorable Men: Political Conventions 1960-1972. Boston: Little, Brown & Co., 1976. Contains â€œSuperman Comes to the Supermarket.â€ù",LJPrimary,1976,Mailer,Norman,Mailer_1976,Primary Works,male
175,"McPhee, John. The John McPhee Reader. Edited, with an introduction, by William Howarth. New York: Farrar, Straus, & Giroux, 1976.",LJPrimary,1976,McPhee,John,McPhee_1976,Primary Works,male
550,"Zavarzadeh, Masâ€™ud. The Mythopoeic Reality: The Postwar American Nonfiction Novel. Urbana: University of Illinois Press, 1976.",LJSBib,1976,Zavarzadeh,Mas,Zavarzadeh_1976,Secondary Works,male
581,"Ramperad, Arnold. The Art and Imagination of W. E. B. Du Bois. Cambridge: Harvard university Press, 1976.",SimsBib,1976,Ramperad,Arnold,Ramperad_1976,Secondary Works,male
218,"Sheehan, Susan. A Welfare Mother. New York: New American Library, 1976.",LJPrimary,1976,Sheehan,Susan,Sheehan_1976,Primary Works,female
256,"White, E. B. Essays of E. B. White. New York: Harper Colophon Books, 1977.",LJPrimary,1977,White,E,White_1977,Primary Works,male
58,"Dos Passos, John. Theodore Dreiser: A Selection of Uncollected Prose. Detroit: Wayne State University Press, 1977.",LJPrimary,1977,Dos Passos,John,Dos Passos_1977,Primary Works,male
109,"Herr, Michael. Dispatches. New York: Alfred A. Knopf, 1977.",LJPrimary,1977,Herr,Michael,Herr_1977,Primary Works,male
171,"McPhee, John. Coming Into the Country. New York: Farrar, Straus & Giroux, 1977.",LJPrimary,1977,McPhee,John,McPhee_1977,Primary Works,male
290,from Dispatches / Michael Herr -- 1977,AoFTOC,1977,Herr,Michael,Herr_1977,Primary Works,male
428,"Hollowell, John. Fact & Fiction: The New Journalism and the Nonfiction Novel. Chapel Hill: University of North Carolina Press, 1977.",LJSBib,1977,Hollowell,John,Hollowell_1977,Secondary Works,male
561,"Chametzky, Jules. From the Ghetto; The Fiction of Abraham Cahan. Amherst: University of Massachusetts Press, 1977.",SimsBib,1977,Chametzky,Jules,Chametzky_1977,Secondary Works,male
46,"Davidson, Sara. Loose Change: Three Women of the Sixties. Garden City, N.Y.: Doubleday, 1977.",LJPrimary,1977,Davidson,Sara,Davidson_1977,Primary Works,female
129,"Kramer, Jane. The Last Cowboy. New York: Harper & Row, 1977.",LJPrimary,1977,Kramer,Jane,Kramer_1977,Primary Works,female
577,"Moreau, Genevieve. The Restless Journey of James Agee. New York: Morrow, 1977.",SimsBib,1977,Moreau,Genevieve,Moreau_1977,Secondary Works,female
188,"Olsen, Tillie. Silences. New York: Delta/Seymour Lawrence, 1989. Originally published in 1978.",LJPrimary,1978,Olsen,Tillie,Olsen_1978,Primary Works,female
223,"Sims, Patsy. The Klan. Lexington: University Press of Kentucky, reprint 1996; originally published 1978.",LJPrimary,1978,Sims,Patsy,Sims_1978,Primary Works,female
254,"West, Rebecca. Rebecca West â€” A Celebration. Selected from her writings, with a critical introduction by Samuel Hynes. New York: Penguin Books, 1978.",LJPrimary,1978,West,Rebecca,West_1978,Primary Works,female
147,"London, Jack. Jack London on the Road: The Tramp Diary and Other Hobo Writings. Edited by Richard W. Etulain. Logan, Utah: Utah State University Press, 1979.",LJPrimary,1979,London,Jack,London_1979,Primary Works,male
157,"Mailer, Norman. The Executioner's Song. Boston: Little, Brown & Co., 1979.",LJPrimary,1979,Mailer,Norman,Mailer_1979,Primary Works,male
185,"Morgan, Dan. Merchants of Grain. New York: Viking, 1979.",LJPrimary,1979,Morgan,Dan,Morgan_1979,Primary Works,male
238,"Thompson, Hunter. The Great Shark Hunt. New York: Fawcett, 1979.",LJPrimary,1979,Thompson,Hunter,Thompson_1979,Primary Works,male
244,"Twain, Mark. Early Tales & Sketches. Vols. 1 (1851-1864) and 2 (1864-1865). Edited by Edgar Marquess Branch and Robert H. Hirst with the assistance of Harriet Elinor Smith. Berkeley, Los Angeles: University of California Press, 1979.",LJPrimary,1979,Twain,Mark,Twain_1979,Primary Works,male
271,"Wolfe, Tom. The Right Stuff. New York: Farrar, Straus & Giroux, 1979.",LJPrimary,1979,Wolfe,Tom,Wolfe_1979,Primary Works,male
53,"Didion, Joan. The White Album. New York: Simon and Schuster, 1979.",LJPrimary,1979,Didion,Joan,Didion_1979,Primary Works,female
186,"Naipaul, Shiva. Journey to Nowhere: A New World Tragedy. New York: Simon and Schuster, 1981; first published in Great Britain as Black and White, 1980.",LJPrimary,1980,Naipaul,Shiva,Naipaul_1980,Primary Works,male
7,"Arlen, Michael J. Thirty Seconds. New York: Farrar, Straus, Giroux, 1980.",LJPrimary,1980,Arlen,Michael,Arlen_1980,Primary Works,male
12,"Barich, Bill. Laughing in the Hills. New York: Viking Penguin, 1980.",LJPrimary,1980,Barich,Bill,Barich_1980,Primary Works,male
81,"Frady, Marshall. Southerners: A Journalist's Odyssey. New York: New American Library, 1980.",LJPrimary,1980,Frady,Marshall,Frady_1980,Primary Works,male
82,"Franklin, Jon. â€œMrs. Kellyâ€™s Monster,â€ù in Writing for Story: Craft Secrets of Dramatic Nonfiction by a Two-Time Pulitzer Prize Winner. New York: Atheneum, 1986; originally published in the Baltimore Evening Sun, 1978. â€”â€”. Shocktrauma. New York: St. Martin's Press, 1980.",LJPrimary,1980,Franklin,Jon,Franklin_1980,Primary Works,male
95,"Hamill, Pete. The Invisible City: A New York Sketchbook. Drawings by Susan Stillman. New York: Random House, 1980.",LJPrimary,1980,Hamill,Pete,Hamill_1980,Primary Works,male
132,"Kramer, Mark. Three Farms: Making Milk, Meat and Money from the American Soil. Boston: Little, Brown and Co., 1980.",LJPrimary,1980,Kramer,Mark,Kramer_1980,Primary Works,male
485,"Ohmann, Richard. â€œPolitics and Genre in Nonfiction Prose.â€ù New Literary History 11, no. 2 (1980): 237â€“44.",LJSBib,1980,Ohmann,Richard,Ohmann_1980,Secondary Works,male
540,"Weber, Ronald. The Literature of Fact: Literary Nonfiction in American Writing. Athens, Ohio: Ohio University Press, 1980.",LJSBib,1980,Weber,Ronald,Weber_1980,Secondary Works,male
583,"Sokolov, Raymond, Wayward Reporter; The Life of A. J. Liebling. New York: Harper & Row, 1980.",SimsBib,1980,Sokolov,Raymond,Sokolov_1980,Secondary Works,male
47,"Davidson, Sara. Real Property. Garden City, N.Y.: Doubleday & Co., 1980.",LJPrimary,1980,Davidson,Sara,Davidson_1980,Primary Works,female
130,"Kramer, Jane. Unsettling Europe. New York: Random House, 1980.",LJPrimary,1980,Kramer,Jane,Kramer_1980,Primary Works,female
235,"Talese, Gay. Thy Neighbor's Wife. Garden City, N.Y.: Doubleday, 1980.",LJPrimary,1980,Talese,Gay,Talese_1980,Primary Works,female
579,"Orhn, Karin. Dorothea Lange and the Documentary Tradition. Baton Rouge: Louisiana State University Press, 1980.",SimsBib,1980,Orhn,Karin,Orhn_1980,Secondary Works,female
144,"Liebling, A. J. Liebling Abroad. Introduction by Raymond Sokolov. Playboy Press, 1981. Contains: The Road Back to Paris, Mollie & Other War Pieces, Normandy Revisited, Between Meals: An Appetite for Paris.",LJPrimary,1981,Liebling,A,Liebling_1981,Primary Works,male
